title,scoiety,price,area,when ready,link
"2 BHK Apartment for Sale in Runwal Sanctuary, Mulund West Mumbai",none,Rs 1.64 Cr ,666 sqft,Jul '28,https://www.magicbricks.com/runwal-sanctuary-mulund-west-mumbai-pdpid-4d4235323233323635
"2 BHK Apartment for Sale in Lodha Adrina, Worli Mumbai",none,Rs 6.23 Cr ,944 sqft,Dec '25,https://www.magicbricks.com/lodha-adrina-worli-mumbai-pdpid-4d4235343033313539
"3 BHK Apartment for Sale in Bharat altavista, Andheri West Mumbai",none,Rs 5.37 Cr ,1238 sqft,Sep '30,https://www.magicbricks.com/bharat-altavista-andheri-west-mumbai-pdpid-4d4235343234343633
"3 BHK Apartment for Sale in Godrej Sky Terraces, Chembur Mumbai",none,Rs 7.05 Cr ,1516 sqft,Mar '29,https://www.magicbricks.com/godrej-sky-terraces-chembur-mumbai-pdpid-4d4235343139343335
"3 BHK Apartment for Sale in Kalpataru Magnus, Bandra East Mumbai",none,Rs 8.70 Cr ,1450 sqft,Jun '25,https://www.magicbricks.com/kalpataru-magnus-bandra-east-mumbai-pdpid-4d4235313135343639
"3 BHK Apartment for Sale in Runwal Bliss, Kanjurmarg East Mumbai",none,Rs 2.74 Cr ,797 sqft,Dec '27,https://www.magicbricks.com/runwal-bliss-kanjurmarg-east-mumbai-pdpid-4d4235303733343034
"3 BHK Apartment for Sale in Bharat altavista, Andheri West Mumbai",none,Rs 5.37 Cr ,1238 sqft,Sep '30,https://www.magicbricks.com/bharat-altavista-andheri-west-mumbai-pdpid-4d4235343234343633
"3 BHK Apartment for Sale in Radius 10 BKC, Bandra Kurla Complex Mumbai",none,Rs 8.79 Cr ,1420 sqft,New Property,https://www.magicbricks.com/radius-10-bkc-bandra-kurla-complex-mumbai-pdpid-4d4235303933383733
"3 BHK Apartment for Sale in Adani Linkbay Residences, Andheri West Mumbai",none,Rs 6 Cr ,1522 sqft,Oct '28,https://www.magicbricks.com/adani-linkbay-residences-andheri-west-mumbai-pdpid-4d4235343137323231
"3 BHK Apartment for Sale in Lodha Divino, Matunga East Mumbai",none,Rs 5.99 Cr ,1290 sqft,Dec '27,https://www.magicbricks.com/lodha-divino-matunga-east-mumbai-pdpid-4d4235333934353139
"2 BHK Apartment for Sale in Platinum Grandeur, Andheri West Mumbai",none,Rs 3.28 Cr ,800 sqft,Dec '26,https://www.magicbricks.com/platinum-grandeur-andheri-west-mumbai-pdpid-4d4235343136383233
"2 BHK Apartment for Sale in DLH Leo, Andheri West Mumbai",none,Rs 2.51 Cr ,670 sqft,New Property,https://www.magicbricks.com/dlh-leo-andheri-west-mumbai-pdpid-4d4235333934323539
"2 BHK Apartment for Sale in Shree Shashwat Building No 22, Mira Road East Mumbai",none,Rs 1 Cr ,620 sqft,Dec '25,https://www.magicbricks.com/shree-shashwat-building-no-22-mira-road-east-mumbai-pdpid-4d4235343231323537
"3 BHK Apartment for Sale in Lodha Bellevue, Byculla Mumbai",none,Rs 4.38 Cr ,876 sqft,Sep '28,https://www.magicbricks.com/lodha-bellevue-byculla-mumbai-pdpid-4d4235333334373935
"3 BHK Apartment for Sale in The Gateway, Sewri Mumbai",none,Rs 5.67 Cr ,1258 sqft,Sep '28,https://www.magicbricks.com/the-gateway-sewri-mumbai-pdpid-4d4235343139393737
"3 BHK Apartment for Sale in JP Decks, Goregaon Mumbai",none,Rs 6.03 Cr ,1900 sqft,New Property,https://www.magicbricks.com/jp-decks-goregaon-mumbai-pdpid-4d4235303730303531
